,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
5929,52,M,1.0,71,50740,1,1,Own,20102,12/7/2015,Monday,Local,0,0.0,16,Broker,1,0.0,1,Large,15000.0,black,23840.55145
8921,22,F,1.0,74,70615,1,1,Rent,15009,7/12/2016,Tuesday,Highway,0,0.0,92,Online,1,1070.46,1,Compact,35494.45875387963,silver,3181.934284
4021,48,F,0.0,51,55555,1,1,Own,50034,7/7/2015,Tuesday,Parking Lot,1,0.0,21,Broker,1,0.0,7,Large,24881.48105612493,other,60792.42714
14952,36,F,1.0,79,118417,0,1,Own,85018,12/30/2016,Friday,Parking Lot,2,0.0,100,Phone,0,4904.84,7,Compact,67899.90469850978,gray,27452.37459
3048,44,M,1.0,88,42484,1,0,Own,85041,11/6/2016,Sunday,Local,6,0.0,96,Broker,1,1098.81,1,Medium,39788.54295702834,white,42745.21112
14239,53,F,0.0,66,51909,1,1,Own,20104,10/21/2015,Wednesday,Local,0,1.0,81,Phone,1,0.0,1,Compact,15000.0,silver,22501.40077
6210,39,F,0.0,80,36324,0,0,Own,15022,1/7/2016,Thursday,Local,12,0.0,75,Broker,1,0.0,7,Medium,40607.480901201605,blue,42615.15717
16970,36,F,0.0,75,32634,0,1,Own,85025,5/25/2015,Monday,Parking Lot,0,0.0,41,Phone,1,0.0,1,Medium,15000.0,red,51446.02077
16682,31,M,0.0,97,90910,1,1,Rent,80005,8/18/2015,Tuesday,Parking Lot,0,0.0,53,Broker,1,1037.22,7,Compact,33554.3538051643,red,16425.635459999998
11041,37,F,0.0,85,64063,1,1,Own,50012,8/13/2015,Thursday,Highway,0,0.0,89,Broker,1,0.0,5,Compact,15000.0,silver,7962.081656
591,36,M,1.0,69,99965,1,0,Rent,20103,9/30/2015,Wednesday,Local,1,0.0,42,Broker,1,0.0,1,Compact,95650.09153486704,red,29479.38213
10921,53,F,1.0,83,86453,0,1,Own,15004,3/10/2016,Thursday,Highway,0,0.0,87,Broker,0,0.0,3,Compact,15000.0,blue,17072.7705
638,29,F,1.0,75,62231,1,0,Rent,50041,6/8/2016,Wednesday,Highway,0,0.0,98,Online,0,0.0,1,Medium,41208.57438295166,other,17844.85225
3918,42,F,1.0,80,80116,0,1,Own,15010,7/18/2016,Monday,Local,0,1.0,72,Broker,0,1709.14,10,Large,15000.0,other,29336.97068
8829,52,M,0.0,76,88902,0,0,Rent,20153,1/3/2015,Saturday,Local,0,1.0,16,Phone,1,3435.05,1,Large,90921.32136845004,red,32921.426210000005
11443,50,M,1.0,58,66763,1,1,Rent,85027,2/17/2016,Wednesday,Highway,0,1.0,100,Broker,0,0.0,1,Large,46294.23301988567,red,21464.24721
11224,59,F,0.0,88,83222,1,0,Rent,20140,8/19/2015,Wednesday,Local,1,0.0,37,Phone,1,0.0,1,Medium,37593.57140883536,other,13040.0261
2960,25,F,1.0,75,60046,1,1,Rent,50011,2/19/2015,Thursday,Local,5,0.0,99,Online,0,2601.56,1,Compact,18460.10328833065,blue,14711.74444
2715,38,M,0.0,81,41273,1,1,Own,15049,3/29/2016,Tuesday,Local,0,1.0,26,Broker,1,0.0,1,Compact,16984.452950992756,silver,19930.22251
715,38,F,0.0,54,64041,0,1,Own,15018,11/27/2016,Sunday,Local,4,0.0,18,Broker,0,0.0,2,Compact,15000.0,red,16876.14759
8451,35,M,0.0,85,65580,0,0,Rent,50057,7/1/2015,Wednesday,Local,0,0.0,45,Phone,0,0.0,1,Compact,39024.093812632025,black,19529.73608
8666,49,F,1.0,58,121328,1,1,Own,85010,8/14/2016,Sunday,Parking Lot,0,0.0,45,Broker,1,5137.02,1,Compact,19759.169516827933,silver,29985.66058
12951,50,M,1.0,89,97557,0,1,Rent,20138,5/3/2015,Sunday,Local,18,1.0,100,Broker,1,1760.9,1,Large,42537.00461040231,silver,14257.708319999998
539,26,F,1.0,85,96806,1,0,Rent,85015,9/10/2015,Thursday,Local,0,0.0,51,Online,1,0.0,1,Large,34360.91481731272,silver,14745.72795
4865,48,F,0.0,86,34151,1,1,Rent,80016,2/6/2015,Friday,Local,0,1.0,62,Phone,1,3134.75,1,Compact,15000.0,gray,8566.335062999999
12308,53,F,0.0,74,52068,0,1,Own,85082,2/4/2015,Wednesday,Local,0,0.0,35,Broker,0,3987.59,7,Large,35146.559043548725,gray,17698.801219999998
12570,40,F,0.0,72,124161,1,0,Own,50002,5/31/2016,Tuesday,Highway,0,0.0,23,Phone,1,7484.62,1,Compact,15000.0,blue,26729.33702
14649,52,M,1.0,84,122333,0,0,Own,50011,3/22/2015,Sunday,Parking Lot,11,1.0,39,Broker,1,0.0,1,Compact,15000.0,silver,24351.88502
3972,32,F,1.0,58,97026,1,0,Own,20130,5/11/2016,Wednesday,Highway,9,0.0,88,Broker,1,0.0,5,Medium,47526.37588414107,blue,27990.10932
16364,29,F,0.0,65,114944,0,0,Rent,15012,1/2/2015,Friday,Local,11,,13,Online,1,355.01,1,Large,15000.0,gray,28688.14726
17396,54,F,1.0,61,40621,1,0,Rent,20120,8/21/2016,Sunday,Local,0,0.0,50,Broker,0,0.0,1,Compact,50192.90703641476,silver,7914.278920999999
6695,38,F,0.0,72,115290,1,1,Own,80038,5/2/2016,Monday,Local,6,1.0,67,Broker,1,2623.5,1,Compact,15000.0,black,28083.12293
6776,69,M,1.0,70,51090,1,1,Rent,80037,11/25/2015,Wednesday,Local,0,0.0,50,Broker,1,0.0,1,Large,61066.313496075534,silver,26080.5472
5701,36,F,1.0,92,36493,1,0,Own,15054,8/22/2015,Saturday,Parking Lot,0,0.0,90,Phone,1,1804.14,5,Large,15000.0,other,48841.64241
11288,88,F,1.0,74,116784,1,1,Own,85069,3/31/2016,Thursday,Local,0,0.0,99,Online,0,0.0,1,Large,15000.0,white,13714.45441
14719,51,M,1.0,92,59776,0,1,Rent,20111,5/5/2015,Tuesday,Local,4,0.0,63,Broker,0,0.0,1,Large,20273.61372228051,blue,41655.89212
1395,42,F,1.0,60,30811,1,1,Rent,80018,2/7/2016,Sunday,Local,0,0.0,99,Broker,1,981.39,1,Compact,51167.88618700084,gray,12547.64471
7261,29,M,0.0,57,116563,1,0,Own,80014,5/23/2015,Saturday,Parking Lot,4,0.0,37,Online,1,366.67,1,Compact,15000.0,silver,12557.7111
8167,33,M,1.0,65,38248,1,1,Rent,20153,11/5/2016,Saturday,Parking Lot,6,1.0,47,Broker,1,2142.56,2,Compact,15000.0,black,17582.363240000002
13372,30,M,0.0,84,100221,1,1,Own,20160,3/16/2016,Wednesday,Highway,5,1.0,36,Broker,0,3086.34,8,Medium,15000.0,blue,19779.29984
17561,53,M,1.0,94,34007,1,1,Rent,85025,7/4/2015,Saturday,Local,0,0.0,1,Broker,0,0.0,1,Compact,27896.488924523765,other,7811.870533
12726,45,F,0.0,90,109935,0,1,Own,20106,2/16/2016,Tuesday,Local,3,0.0,7,Broker,1,5863.73,1,Compact,48386.615888485976,silver,5748.555561
1389,35,F,1.0,84,68335,0,0,Own,50001,10/15/2016,Saturday,Local,4,1.0,31,Broker,0,369.87,9,Compact,15000.0,black,26280.24
6242,50,M,1.0,42,48904,1,0,Rent,20146,6/27/2015,Saturday,Highway,0,0.0,0,Broker,1,0.0,1,Compact,15000.0,silver,43910.50653
5052,71,F,0.0,51,33195,1,1,Own,85038,10/11/2016,Tuesday,Local,8,0.0,80,Broker,1,5948.5,1,Compact,23774.88894871057,red,13460.253319999998
6037,41,M,0.0,75,59420,1,1,Own,20140,6/10/2016,Friday,Highway,0,0.0,20,Phone,1,0.0,1,Compact,27955.999602195665,other,11526.19071
17279,41,F,1.0,36,76376,1,1,Own,20132,10/30/2015,Friday,Parking Lot,0,0.0,50,Broker,1,4512.0,1,Medium,15000.0,blue,31117.6408
15786,27,F,1.0,81,103200,0,1,Rent,15012,9/10/2016,Saturday,Local,0,0.0,1,Online,1,7126.86,1,Medium,15000.0,black,44536.25506
16323,66,M,1.0,65,123321,1,0,Own,80011,5/24/2015,Sunday,Local,12,0.0,94,Broker,0,1089.24,1,Medium,15000.0,black,8456.275181
14205,48,M,1.0,67,117439,0,0,Own,20151,9/22/2015,Tuesday,Local,4,0.0,84,Broker,0,841.77,3,Medium,15000.0,blue,25317.48452
3591,44,F,1.0,89,30710,1,1,Rent,50029,11/27/2016,Sunday,Local,7,1.0,75,Phone,1,0.0,1,Compact,15000.0,blue,54867.18998
10971,37,M,1.0,68,68091,0,1,Own,15012,8/30/2016,Tuesday,Local,14,0.0,66,Broker,1,4542.83,2,Compact,49100.45644118324,silver,7766.937734
15671,35,M,1.0,59,77108,1,1,Own,50059,10/28/2015,Wednesday,Parking Lot,3,0.0,97,Broker,1,2001.67,1,Medium,31518.18377274589,other,12881.23238
3352,48,M,1.0,78,51313,1,0,Rent,50048,10/6/2016,Thursday,Local,0,1.0,44,Broker,1,0.0,1,Medium,40934.1296906932,silver,16496.13149
16923,50,F,1.0,82,118661,1,1,Own,85025,10/2/2015,Friday,Local,3,1.0,4,Phone,0,2878.09,1,Large,15000.0,silver,28781.506080000003
11756,51,F,0.0,39,32600,0,1,Own,50009,1/21/2016,Thursday,Parking Lot,9,0.0,88,Phone,0,12259.38,1,Medium,30035.37563493495,red,10388.4763
17546,46,M,1.0,87,64687,0,1,Own,15025,4/13/2016,Wednesday,Local,0,0.0,4,Broker,0,0.0,1,Compact,15000.0,black,21794.22653
11966,41,M,1.0,81,82371,1,0,Rent,15001,5/22/2016,Sunday,Parking Lot,1,0.0,13,Phone,1,0.0,11,Compact,27058.234794020405,other,43712.743160000005
5867,23,M,1.0,85,72610,1,0,Rent,15018,8/14/2015,Friday,Parking Lot,0,0.0,7,Online,1,2180.56,1,Large,59873.989440887584,black,28361.74224
927,42,F,1.0,78,48181,1,0,Own,15019,10/13/2015,Tuesday,Local,0,0.0,50,Phone,0,0.0,1,Medium,15000.0,other,38430.46235
3422,39,M,1.0,76,48161,1,0,Own,20115,6/9/2015,Tuesday,Highway,6,0.0,10,Phone,0,3747.18,1,Large,15000.0,black,12579.6364
17931,32,M,1.0,37,37503,1,1,Own,85038,6/29/2016,Wednesday,Local,0,0.0,50,Broker,1,6408.76,1,Medium,38954.64632565979,silver,18478.32258
8211,63,F,1.0,87,98454,1,0,Own,85019,2/1/2015,Sunday,Local,1,1.0,49,Phone,1,2115.87,10,Medium,15000.0,white,18958.35637
5594,26,F,0.0,95,59980,0,1,Rent,20116,6/29/2015,Monday,Local,4,0.0,3,Online,1,0.0,1,Large,38216.70774891385,white,13369.29888
1721,46,F,1.0,67,41174,1,0,Rent,20107,1/22/2015,Thursday,Highway,0,0.0,92,Phone,1,1138.44,8,Large,15000.0,black,12376.12773
438,35,M,0.0,92,95435,1,1,Rent,80022,4/18/2015,Saturday,Parking Lot,0,0.0,34,Phone,1,0.0,7,Medium,83085.72491288585,silver,6224.618643
1573,56,F,0.0,68,109521,1,1,Own,20111,2/25/2016,Thursday,Highway,0,0.0,93,Broker,1,2063.65,7,Medium,15000.0,other,18270.99877
5529,55,F,1.0,77,72273,0,1,Rent,50042,7/30/2015,Thursday,Parking Lot,3,0.0,10,Broker,1,0.0,10,Compact,62506.71312440823,blue,15019.45845
12020,29,F,1.0,55,84565,1,1,Rent,15001,11/22/2016,Tuesday,Local,4,0.0,15,Online,0,0.0,9,Compact,48761.06919386199,black,37294.93794
14986,42,M,1.0,72,113978,1,0,Own,80002,1/13/2016,Wednesday,Local,0,0.0,95,Broker,1,1474.92,1,Large,30662.03681161186,black,23617.74242
5532,40,F,0.0,74,60769,1,1,Own,15060,4/25/2016,Monday,Local,0,1.0,30,Online,1,0.0,1,Medium,46759.29903847192,red,21698.55266
8315,22,M,1.0,71,109711,0,0,Rent,50028,8/13/2015,Thursday,Highway,0,0.0,51,Online,1,0.0,1,Large,27811.53630311544,other,32069.219610000004
15060,41,M,1.0,92,69367,1,1,Own,85076,2/21/2016,Sunday,Parking Lot,0,1.0,17,Phone,1,7337.78,1,Large,15000.0,white,9896.641831
3808,58,M,1.0,79,32390,0,1,Rent,15007,2/22/2015,Sunday,Local,0,0.0,47,Phone,1,0.0,6,Medium,27452.748961932262,gray,38169.63048
9703,24,F,1.0,79,55689,1,1,Rent,15005,10/10/2016,Monday,Highway,0,0.0,9,Online,1,2773.27,10,Large,15000.0,silver,26381.5919
11765,36,M,1.0,56,32509,0,1,Rent,20120,2/23/2016,Tuesday,Local,13,1.0,99,Broker,1,3974.23,1,Large,53592.30512257498,white,55289.80829
13102,52,F,1.0,78,71040,1,0,Own,85029,10/11/2015,Sunday,Parking Lot,0,0.0,24,Phone,1,0.0,1,Compact,15000.0,white,14141.92945
5934,36,M,0.0,73,39074,1,0,Own,80041,8/23/2015,Sunday,Local,2,1.0,92,Online,1,5789.81,8,Medium,66149.75182670914,black,13857.760380000002
15271,51,M,0.0,82,87680,0,1,Rent,15033,2/23/2016,Tuesday,Highway,0,1.0,2,Phone,1,0.0,1,Medium,15000.0,white,22809.09506
9395,33,M,1.0,89,78565,1,1,Rent,20105,2/28/2016,Sunday,Parking Lot,0,0.0,5,Phone,1,0.0,1,Medium,15000.0,other,37479.63912
7136,36,F,1.0,99,115317,1,0,Own,20122,1/27/2016,Wednesday,Parking Lot,3,0.0,97,Phone,1,4161.91,1,Medium,30615.90379501755,gray,36445.87877
2654,52,F,1.0,74,80598,1,1,Own,85016,6/18/2016,Saturday,Parking Lot,0,0.0,16,Broker,1,341.35,1,Compact,29022.05745302928,other,30349.49114
10638,68,F,1.0,68,114585,1,0,Own,85078,9/24/2015,Thursday,Local,4,1.0,65,Phone,1,0.0,1,Large,15000.0,silver,12725.20708
6169,49,F,1.0,81,103898,1,0,Own,15021,1/5/2015,Monday,Parking Lot,5,0.0,1,Phone,1,3158.51,7,Compact,61014.74540637944,blue,10872.85807
17592,25,F,0.0,70,106517,1,0,Own,80028,4/1/2015,Wednesday,Highway,0,0.0,100,Online,1,308.38,1,Compact,77760.57566159562,gray,16884.95653
15117,39,F,1.0,91,122581,0,0,Own,50026,6/26/2015,Friday,Local,2,0.0,8,Phone,1,7774.16,1,Large,15000.0,white,8326.169153
1699,59,M,0.0,47,34826,1,0,Own,15050,10/18/2015,Sunday,Parking Lot,0,0.0,28,Phone,1,1790.53,1,Large,15000.0,other,12150.71918
11551,47,F,1.0,85,35706,1,1,Own,15025,12/6/2015,Sunday,Local,0,0.0,89,Broker,0,12869.76,1,Large,15000.0,black,35805.5636
15995,49,M,1.0,63,50275,1,1,Own,50001,10/18/2016,Tuesday,Highway,12,1.0,93,Broker,1,0.0,5,Large,15000.0,silver,12302.16238
14884,52,M,0.0,63,78843,0,1,Own,20141,7/30/2015,Thursday,Local,0,0.0,18,Broker,1,4327.5,5,Large,15000.0,gray,12417.87996
5014,24,M,0.0,72,106541,0,1,Rent,15012,8/11/2016,Thursday,Parking Lot,10,0.0,14,Online,1,0.0,1,Medium,15000.0,red,14498.53523
3465,51,M,0.0,66,104733,1,0,Own,50049,8/13/2016,Saturday,Local,19,1.0,50,Broker,1,1208.9,13,Compact,15000.0,white,10681.63937
11411,37,M,1.0,93,34428,1,1,Rent,85027,9/17/2015,Thursday,Highway,0,1.0,56,Broker,1,0.0,1,Medium,42925.27820907386,other,15903.681530000002
387,66,F,1.0,56,77183,1,0,Own,50057,3/8/2015,Sunday,Local,0,0.0,45,Phone,1,4895.28,1,Large,31704.69436231457,blue,15414.94676
15529,32,M,0.0,80,50880,0,1,Rent,80011,6/18/2015,Thursday,Highway,0,0.0,27,Phone,1,0.0,1,Compact,64038.6841938153,silver,15734.90764
15138,26,F,0.0,87,108984,0,0,Own,50026,7/4/2016,Monday,Local,0,0.0,42,Phone,1,1319.06,1,Large,15000.0,red,18997.13865
12108,42,M,0.0,83,47976,1,0,Rent,20117,9/3/2015,Thursday,Highway,0,0.0,42,Phone,0,5988.75,1,Compact,66019.89721682633,white,23039.63812
3797,65,M,1.0,72,106485,1,1,Own,85035,12/6/2015,Sunday,Parking Lot,0,0.0,93,Phone,0,10460.8,1,Compact,15000.0,gray,22899.89469
15377,64,M,1.0,76,85351,0,0,Rent,85035,1/5/2016,Tuesday,Local,0,0.0,2,Broker,0,10451.58,8,Medium,57257.10987192476,blue,43197.52427
17527,29,F,0.0,88,81947,1,0,Rent,20122,8/28/2015,Friday,Local,0,1.0,50,Broker,1,0.0,1,Medium,24627.573257991284,red,12305.01273
2772,43,F,1.0,84,82988,0,0,Own,80040,10/15/2015,Thursday,Local,1,0.0,8,Broker,1,1040.22,1,Medium,17458.23255786732,gray,45288.77167
11394,41,M,1.0,86,73293,1,1,Own,50032,6/8/2016,Wednesday,Highway,0,1.0,51,Broker,1,0.0,1,Compact,29736.32242585,other,33683.78035
8419,51,M,1.0,40,71198,1,0,Own,15012,3/6/2016,Sunday,Local,1,0.0,94,Broker,1,0.0,2,Large,15000.0,silver,10505.05601
9084,49,F,1.0,58,50222,1,1,Own,85019,7/26/2016,Tuesday,Parking Lot,4,0.0,89,Phone,1,2924.51,2,Large,96603.65562739065,blue,9615.637601
10770,41,F,1.0,39,89514,1,0,Own,80025,10/21/2016,Friday,Parking Lot,10,0.0,72,Phone,0,1870.01,1,Compact,16434.158377818396,other,4395.981422
1160,46,M,1.0,89,65072,0,1,Own,20153,1/30/2016,Saturday,Local,0,1.0,77,Phone,0,0.0,1,Compact,39736.33737165784,gray,28250.04899
3128,24,F,1.0,77,111107,1,0,Rent,50050,11/8/2015,Sunday,Highway,2,0.0,9,Online,0,4267.27,1,Compact,15000.0,black,32024.69308
2108,72,M,0.0,83,120658,1,0,Rent,50032,5/9/2015,Saturday,Parking Lot,0,0.0,77,Broker,0,0.0,6,Compact,15000.0,white,17270.38043
14740,37,F,0.0,76,64786,0,1,Own,85050,1/18/2015,Sunday,Local,17,0.0,42,Broker,0,5370.09,1,Large,19753.643413962585,gray,16095.2825
11225,45,F,0.0,34,37154,0,1,Rent,20118,3/18/2016,Friday,Local,11,1.0,13,Phone,1,8720.46,5,Compact,16478.061290733327,white,14018.92587
7801,25,M,1.0,69,74974,0,1,Rent,85042,12/29/2015,Tuesday,Local,7,1.0,39,Online,1,2223.96,3,Medium,38766.427600324096,black,7113.321565
4254,41,F,0.0,63,68861,1,0,Own,85001,9/28/2016,Wednesday,Local,1,0.0,78,Phone,1,0.0,1,Compact,33493.265694870985,blue,30728.2899
2643,46,F,0.0,49,75965,1,1,Own,50054,10/23/2016,Sunday,Local,0,0.0,42,Broker,1,0.0,9,Medium,15000.0,white,21544.99382
3975,27,M,1.0,69,31927,0,1,Rent,20106,7/16/2016,Saturday,Local,0,0.0,11,Online,1,0.0,2,Compact,15000.0,black,36005.27492
11703,48,M,1.0,59,75364,1,0,Own,80011,10/20/2015,Tuesday,Local,0,1.0,35,Broker,1,0.0,1,Compact,50894.64824183223,red,33549.39977
4627,37,F,1.0,81,60080,1,1,Rent,20106,11/9/2015,Monday,Parking Lot,0,0.0,1,Broker,1,0.0,1,Large,65693.53423264655,red,16971.868769999997
2156,32,M,0.0,91,37932,1,1,Own,80024,5/17/2016,Tuesday,Local,9,0.0,96,Broker,0,3008.85,9,Large,49839.51662427302,red,48896.66697
12826,31,F,0.0,79,35862,1,0,Rent,20105,7/10/2016,Sunday,Local,13,0.0,99,Phone,1,0.0,5,Compact,87889.8970299478,red,27229.82456
13896,59,M,1.0,76,59115,1,1,Rent,15001,6/16/2016,Thursday,Parking Lot,1,0.0,49,Phone,1,5736.92,1,Large,15000.0,red,38159.75942
17936,42,F,0.0,73,77822,0,0,Rent,80002,8/15/2015,Saturday,Local,0,0.0,1,Broker,1,261.4,1,Medium,41962.608034558216,other,18805.94894
345,72,M,1.0,84,43574,1,0,Rent,80021,12/17/2016,Saturday,Parking Lot,3,0.0,23,Broker,1,3732.26,3,Compact,15000.0,white,36875.42742
11953,56,F,0.0,85,53002,1,0,Rent,15043,2/14/2016,Sunday,Highway,0,0.0,74,Broker,0,436.98,1,Medium,36118.69282867877,gray,14030.60605
5848,49,M,0.0,74,61945,1,1,Own,20136,7/23/2015,Thursday,Local,4,0.0,10,Broker,0,0.0,1,Medium,33438.95042171789,red,10555.34557
16844,30,F,1.0,59,93380,1,1,Own,50009,2/13/2016,Saturday,Local,0,0.0,16,Broker,1,5076.63,1,Compact,15000.0,silver,41099.676060000005
1002,50,M,1.0,52,72741,0,1,Own,85051,10/5/2015,Monday,Parking Lot,7,0.0,80,Broker,1,281.32,8,Large,15000.0,red,27230.74337
4480,58,M,1.0,89,59307,0,0,Rent,50046,12/23/2015,Wednesday,Parking Lot,0,0.0,99,Broker,1,0.0,1,Large,38463.68881965363,silver,31644.77096
14621,49,F,0.0,95,64924,0,1,Rent,50036,4/13/2016,Wednesday,Parking Lot,2,0.0,99,Phone,0,0.0,3,Compact,35383.79748801682,white,22242.21974
16955,40,M,1.0,73,80603,1,1,Own,20140,11/19/2015,Thursday,Local,0,0.0,7,Phone,1,6230.54,1,Large,15000.0,blue,10192.28669
7524,40,F,1.0,64,44117,1,1,Rent,20124,12/11/2015,Friday,Local,0,0.0,93,Phone,1,10297.36,5,Compact,52648.48075096873,black,43218.28983
11720,56,M,0.0,77,99328,1,1,Rent,20152,2/21/2016,Sunday,Local,2,0.0,72,Broker,1,0.0,11,Large,63113.45903699973,red,16823.83663
16068,45,F,1.0,60,83441,1,0,Own,20111,6/15/2016,Wednesday,Parking Lot,0,0.0,86,Broker,1,1404.52,1,Compact,15000.0,white,22063.20152
1893,27,M,1.0,51,73331,0,1,Rent,20113,6/18/2015,Thursday,Parking Lot,0,0.0,100,Online,0,0.0,6,Large,18708.0941420308,black,14170.77574
15767,43,F,1.0,71,82821,0,1,Rent,85079,12/5/2016,Monday,Parking Lot,0,0.0,50,Phone,1,0.0,1,Compact,55223.56412235094,gray,9712.573113
13971,56,M,0.0,92,76913,0,1,Own,80041,4/26/2015,Sunday,Parking Lot,0,0.0,92,Broker,0,10306.16,1,Compact,54571.91652239646,gray,21095.90017
16400,52,F,0.0,45,82703,0,0,Rent,80001,6/6/2015,Saturday,Highway,6,1.0,89,Broker,1,0.0,8,Medium,58779.29464314884,red,38281.08618
1156,51,M,0.0,46,109046,0,1,Rent,20163,9/11/2016,Sunday,Local,0,0.0,4,Broker,1,4538.47,2,Large,15000.0,red,29736.17307
10543,28,F,1.0,83,117106,1,1,Rent,50044,12/3/2016,Saturday,Parking Lot,9,0.0,81,Online,1,0.0,3,Compact,83137.33587916118,gray,20352.02393
5161,44,M,1.0,43,77098,0,0,Own,20138,12/29/2015,Tuesday,Local,4,0.0,100,Broker,1,0.0,1,Large,48027.91908906375,white,15810.86589
13306,82,M,1.0,57,100235,0,1,Rent,20111,12/5/2016,Monday,Highway,0,0.0,11,Broker,1,8385.84,5,Compact,15000.0,white,27338.30847
8219,62,M,1.0,70,113496,0,0,Rent,80042,9/20/2016,Tuesday,Local,0,0.0,64,Phone,0,0.0,1,Large,15000.0,red,19559.98077
2916,29,F,1.0,74,62656,0,0,Rent,85006,1/12/2015,Monday,Local,11,0.0,13,Online,1,3336.63,1,Compact,15000.0,silver,64567.272070000006
3911,36,F,1.0,39,47808,1,1,Own,50001,9/22/2016,Thursday,Local,0,1.0,11,Broker,1,3587.77,1,Medium,83420.79296938347,red,11727.86537
9637,47,F,1.0,72,60681,1,1,Own,80020,2/21/2015,Saturday,Local,5,0.0,50,Broker,1,931.36,1,Large,15000.0,blue,73848.98871
8238,48,M,1.0,66,52611,1,0,Own,80002,1/7/2015,Wednesday,Highway,6,0.0,5,Broker,0,0.0,6,Medium,62375.457985713954,gray,11807.14555
6530,39,M,1.0,82,114760,1,1,Own,50012,8/24/2015,Monday,Local,2,1.0,98,Broker,1,0.0,1,Large,27370.86214377715,blue,27371.67979
9592,31,M,1.0,75,92499,1,0,Own,50041,11/2/2016,Wednesday,Highway,0,1.0,16,Phone,1,0.0,1,Medium,15000.0,silver,29357.66408
9292,40,F,1.0,83,39966,1,1,Own,80017,12/3/2016,Saturday,Local,0,1.0,50,Phone,1,1047.74,1,Medium,35040.376188506525,white,21714.3813
5947,37,F,1.0,65,57391,1,1,Own,15001,8/19/2016,Friday,Highway,0,0.0,17,Phone,0,0.0,1,Medium,53999.33919419076,blue,16762.27489
721,30,F,0.0,86,121692,1,0,Own,50054,1/6/2016,Wednesday,Local,13,1.0,50,Broker,0,82.29,5,Medium,27007.333498049986,blue,20611.82625
17525,35,F,1.0,72,104671,1,1,Own,15035,1/9/2015,Friday,Local,0,0.0,17,Online,0,4167.49,1,Compact,39638.89963968799,red,33367.83475
6781,48,M,0.0,64,43918,1,1,Own,20152,11/20/2016,Sunday,Local,0,0.0,81,Broker,1,3534.81,1,Medium,15000.0,gray,14869.61675
309,42,F,1.0,77,71489,1,0,Own,85018,9/25/2016,Sunday,Parking Lot,20,0.0,88,Online,0,0.0,20,Large,15000.0,white,22872.61206
4043,35,F,1.0,65,107376,1,1,Own,20148,3/16/2016,Wednesday,Highway,0,0.0,4,Broker,1,0.0,1,Large,15000.0,other,13797.55966
14924,47,F,1.0,77,50136,1,1,Own,20130,10/19/2016,Wednesday,Parking Lot,5,0.0,6,Broker,0,0.0,1,Large,15000.0,silver,14715.50101
7291,51,F,0.0,73,80441,1,1,Own,85079,9/23/2015,Wednesday,Parking Lot,0,0.0,21,Phone,0,11067.95,5,Compact,15000.0,red,10600.23301
11393,58,F,1.0,68,55500,0,1,Own,85019,12/7/2015,Monday,Parking Lot,0,0.0,2,Phone,1,4667.62,1,Compact,15000.0,red,19164.49832
5286,53,F,0.0,66,56664,1,0,Rent,15006,3/30/2016,Wednesday,Parking Lot,5,0.0,98,Broker,1,3777.68,1,Compact,15000.0,red,30188.43744
3488,41,F,0.0,57,30903,1,1,Own,20148,12/28/2016,Wednesday,Local,4,0.0,50,Phone,1,0.0,1,Compact,35679.57843362205,black,13592.19555
14403,62,M,1.0,88,55666,1,1,Own,50029,10/28/2015,Wednesday,Local,7,1.0,50,Phone,0,0.0,1,Compact,59445.27867774499,red,10421.73573
7450,34,F,1.0,66,122959,1,1,Own,50054,6/5/2016,Sunday,Highway,0,0.0,70,Phone,0,1888.24,9,Compact,15000.0,other,17816.45794
12618,48,M,1.0,61,69747,1,1,Own,15055,8/18/2016,Thursday,Highway,14,1.0,37,Broker,1,0.0,5,Medium,19712.54494752913,red,19179.87514
2268,45,F,1.0,94,60968,1,1,Own,85029,3/1/2015,Sunday,Parking Lot,4,0.0,12,Broker,1,2879.5,1,Medium,50538.46855908532,blue,16651.948119999997
4375,63,F,0.0,89,65227,1,0,Own,80109,3/3/2015,Tuesday,Local,1,1.0,44,Phone,0,0.0,1,Medium,15000.0,black,52692.08773
10766,24,M,0.0,79,32261,1,1,Rent,85030,8/1/2015,Saturday,Highway,7,1.0,53,Online,1,0.0,1,Medium,22997.697407102325,silver,15511.43172
15124,44,F,1.0,93,86561,1,0,Rent,80108,5/13/2016,Friday,Local,0,0.0,4,Broker,1,4565.64,1,Large,15000.0,white,9246.628949
12303,48,M,1.0,75,54181,1,1,Own,20104,7/5/2016,Tuesday,Local,0,1.0,59,Phone,1,0.0,4,Medium,76466.5488006059,silver,22794.90422
12271,38,M,1.0,84,65350,1,1,Rent,15010,4/3/2016,Sunday,Local,20,0.0,92,Phone,1,3544.86,10,Compact,15000.0,red,26993.65567
2194,33,F,1.0,55,75401,1,1,Rent,85006,10/16/2015,Friday,Highway,0,1.0,75,Broker,0,0.0,8,Compact,15000.0,blue,10634.51255
